file index:28, before 2048:0.984, after 2048:0.984, before 256:0.980, after 256:0.995, cost:0.3000 min, ETA:24.3000 min,         Acc:0.984, Precision:0.979, Recall:1.000, F1:0.989,[TP:47, FP:1, TN:16, FN:0]
file index:29, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.995, cost:0.3000 min, ETA:24.0000 min,         Acc:0.984, Precision:0.979, Recall:1.000, F1:0.989,[TP:47, FP:1, TN:16, FN:0]
file index:30, before 2048:0.984, after 2048:0.984, before 256:0.976, after 256:0.992, cost:0.3000 min, ETA:23.7000 min,         Acc:0.984, Precision:0.979, Recall:1.000, F1:0.989,[TP:47, FP:1, TN:16, FN:0]
file index:31, before 2048:0.953, after 2048:0.953, before 256:0.971, after 256:0.986, cost:0.3000 min, ETA:23.4000 min,         Acc:0.953, Precision:0.938, Recall:1.000, F1:0.968,[TP:45, FP:3, TN:16, FN:0]
file index:32, before 2048:0.906, after 2048:0.906, before 256:0.962, after 256:0.977, cost:0.3000 min, ETA:23.1000 min,         Acc:0.906, Precision:0.875, Recall:1.000, F1:0.933,[TP:42, FP:6, TN:16, FN:0]
file index:33, before 2048:0.281, after 2048:0.281, before 256:0.894, after 256:0.908, cost:0.3167 min, ETA:24.0667 min,         Acc:0.281, Precision:0.042, Recall:1.000, F1:0.080,[TP:2, FP:46, TN:16, FN:0]
file index:34, before 2048:0.656, after 2048:0.656, before 256:0.923, after 256:0.937, cost:0.3000 min, ETA:22.5000 min,         Acc:0.656, Precision:0.542, Recall:1.000, F1:0.703,[TP:26, FP:22, TN:16, FN:0]
file index:35, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.996, cost:0.3000 min, ETA:22.2000 min,         Acc:0.984, Precision:0.976, Recall:1.000, F1:0.988,[TP:41, FP:1, TN:22, FN:0]
file index:36, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.997, cost:0.3000 min, ETA:21.9000 min,         Acc:0.984, Precision:0.976, Recall:1.000, F1:0.988,[TP:41, FP:1, TN:22, FN:0]
file index:37, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.997, cost:0.3000 min, ETA:21.6000 min,         Acc:0.984, Precision:0.976, Recall:1.000, F1:0.988,[TP:41, FP:1, TN:22, FN:0]
file index:38, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.996, cost:0.3000 min, ETA:21.3000 min,         Acc:0.984, Precision:0.976, Recall:1.000, F1:0.988,[TP:41, FP:1, TN:22, FN:0]
file index:39, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.996, cost:0.3000 min, ETA:21.0000 min,         Acc:0.984, Precision:0.976, Recall:1.000, F1:0.988,[TP:41, FP:1, TN:22, FN:0]
file index:40, before 2048:0.984, after 2048:0.984, before 256:0.981, after 256:0.996, cost:0.3000 min, ETA:20.7000 min,         Acc:0.984, Precision:0.976, Recall:1.000, F1:0.988,[TP:41, FP:1, TN:22, FN:0]
file index:41, before 2048:0.984, after 2048:0.984, before 256:0.979, after 256:0.994, cost:0.2833 min, ETA:19.2667 min,         Acc:0.984, Precision:0.976, Recall:1.000, F1:0.988,[TP:41, FP:1, TN:22, FN:0]
file index:42, before 2048:0.984, after 2048:0.984, before 256:0.976, after 256:0.992, cost:0.2833 min, ETA:18.9833 min,         Acc:0.984, Precision:0.976, Recall:1.000, F1:0.988,[TP:41, FP:1, TN:22, FN:0]
file index:43, before 2048:0.922, after 2048:0.922, before 256:0.965, after 256:0.980, cost:0.2833 min, ETA:18.7000 min,         Acc:0.922, Precision:0.881, Recall:1.000, F1:0.937,[TP:37, FP:5, TN:22, FN:0]
