file index:28, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1667 min, ETA:13.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:29, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1667 min, ETA:13.3333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:30, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1667 min, ETA:13.1667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:31, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.1833 min, ETA:14.3000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:32, before 2048:1.000, after 2048:1.000, before 256:0.978, after 256:0.993, cost:0.1667 min, ETA:12.8333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:33, before 2048:0.375, after 2048:0.375, before 256:0.900, after 256:0.914, cost:0.1833 min, ETA:13.9333 min,         Acc:0.375, Precision:0.167, Recall:1.000, F1:0.286,[TP:8, FP:40, TN:16, FN:0]
file index:34, before 2048:0.875, after 2048:0.875, before 256:0.948, after 256:0.963, cost:0.1833 min, ETA:13.7500 min,         Acc:0.875, Precision:0.833, Recall:1.000, F1:0.909,[TP:40, FP:8, TN:16, FN:0]
file index:35, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1667 min, ETA:12.3333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:36, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1833 min, ETA:13.3833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:37, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1833 min, ETA:13.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:38, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1833 min, ETA:13.0167 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:39, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1667 min, ETA:11.6667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:40, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1667 min, ETA:11.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:41, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1500 min, ETA:10.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:42, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1500 min, ETA:10.0500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:43, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.997, cost:0.1500 min, ETA:9.9000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:44, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.2000 min, ETA:13.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:45, before 2048:0.891, after 2048:0.891, before 256:0.957, after 256:0.972, cost:0.1500 min, ETA:9.6000 min,         Acc:0.891, Precision:0.833, Recall:1.000, F1:0.909,[TP:35, FP:7, TN:22, FN:0]
file index:46, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1667 min, ETA:10.5000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:47, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.1500 min, ETA:9.3000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:48, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.1667 min, ETA:10.1667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:49, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2000 min, ETA:12.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:50, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2000 min, ETA:11.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:51, before 2048:0.953, after 2048:0.953, before 256:0.983, after 256:0.998, cost:0.2000 min, ETA:11.6000 min,         Acc:0.953, Precision:0.973, Recall:0.947, F1:0.960,[TP:36, FP:1, TN:25, FN:2]
file index:52, before 2048:0.984, after 2048:0.984, before 256:0.984, after 256:0.999, cost:0.2000 min, ETA:11.4000 min,         Acc:0.984, Precision:1.000, Recall:0.973, F1:0.986,[TP:36, FP:0, TN:27, FN:1]
file index:53, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2000 min, ETA:11.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:36, FP:0, TN:28, FN:0]
file index:54, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2000 min, ETA:11.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:36, FP:0, TN:28, FN:0]
file index:55, before 2048:0.531, after 2048:0.531, before 256:0.916, after 256:0.930, cost:0.1833 min, ETA:9.9000 min,         Acc:0.531, Precision:0.286, Recall:1.000, F1:0.444,[TP:12, FP:30, TN:22, FN:0]
