file index:28, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2333 min, ETA:18.9000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:29, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2333 min, ETA:18.6667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:30, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2333 min, ETA:18.4333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:31, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2333 min, ETA:18.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:32, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.2333 min, ETA:17.9667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:33, before 2048:0.641, after 2048:0.641, before 256:0.917, after 256:0.932, cost:0.2500 min, ETA:19.0000 min,         Acc:0.641, Precision:0.521, Recall:1.000, F1:0.685,[TP:25, FP:23, TN:16, FN:0]
file index:34, before 2048:0.969, after 2048:0.969, before 256:0.966, after 256:0.981, cost:0.2333 min, ETA:17.5000 min,         Acc:0.969, Precision:0.958, Recall:1.000, F1:0.979,[TP:46, FP:2, TN:16, FN:0]
file index:35, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.2333 min, ETA:17.2667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:36, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2333 min, ETA:17.0333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:37, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:1.000, cost:0.2333 min, ETA:16.8000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
