file index:28, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.3833 min, ETA:31.0500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:29, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.3833 min, ETA:30.6667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:30, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.3833 min, ETA:30.2833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:31, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.3833 min, ETA:29.9000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:32, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.3667 min, ETA:28.2333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:33, before 2048:0.578, after 2048:0.578, before 256:0.918, after 256:0.932, cost:0.4000 min, ETA:30.4000 min,         Acc:0.578, Precision:0.438, Recall:1.000, F1:0.609,[TP:21, FP:27, TN:16, FN:0]
file index:34, before 2048:1.000, after 2048:1.000, before 256:0.968, after 256:0.983, cost:0.3833 min, ETA:28.7500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:48, FP:0, TN:16, FN:0]
file index:35, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.4000 min, ETA:29.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:36, before 2048:0.984, after 2048:0.984, before 256:0.983, after 256:0.998, cost:0.3833 min, ETA:27.9833 min,         Acc:0.984, Precision:1.000, Recall:0.977, F1:0.988,[TP:42, FP:0, TN:21, FN:1]
file index:37, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.3833 min, ETA:27.6000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:38, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.4000 min, ETA:28.4000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:39, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.3833 min, ETA:26.8333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:40, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.3833 min, ETA:26.4500 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:41, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.3667 min, ETA:24.9333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:42, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.3667 min, ETA:24.5667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:43, before 2048:1.000, after 2048:1.000, before 256:0.984, after 256:0.999, cost:0.3667 min, ETA:24.2000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:44, before 2048:1.000, after 2048:1.000, before 256:0.981, after 256:0.996, cost:0.4000 min, ETA:26.0000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:54, FP:0, TN:10, FN:0]
file index:45, before 2048:1.000, after 2048:1.000, before 256:0.975, after 256:0.991, cost:0.3667 min, ETA:23.4667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:42, FP:0, TN:22, FN:0]
file index:46, before 2048:1.000, after 2048:1.000, before 256:0.982, after 256:0.998, cost:0.3667 min, ETA:23.1000 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:47, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.998, cost:0.3667 min, ETA:22.7333 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:48, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.3667 min, ETA:22.3667 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:49, before 2048:0.984, after 2048:0.984, before 256:0.982, after 256:0.998, cost:0.4167 min, ETA:25.0000 min,         Acc:0.984, Precision:1.000, Recall:0.974, F1:0.987,[TP:37, FP:0, TN:26, FN:1]
file index:50, before 2048:1.000, after 2048:1.000, before 256:0.983, after 256:0.999, cost:0.4167 min, ETA:24.5833 min,         Acc:1.000, Precision:1.000, Recall:1.000, F1:1.000,[TP:37, FP:0, TN:27, FN:0]
file index:51, before 2048:0.984, after 2048:0.984, before 256:0.983, after 256:0.998, cost:0.4167 min, ETA:24.1667 min,         Acc:0.984, Precision:0.973, Recall:1.000, F1:0.986,[TP:36, FP:1, TN:27, FN:0]
